"","GEOID","STATE","NO2_LEVELS","TOTAL_ADULTS","WHITE_ALONE","BLACK_ALONE","AIAN_ALONE","ASIAN_ALONE","NHPI_ALONE","OTHER_ALONE","TWO_MORE","HisLat_TOTAL","NotHisLat_TOTAL","INCOME_GROUP","UrbanRural"
"106",6037207304,"California",NA,2041,732,449,31,185,0,320,324,655,1386,"<$27,000",NA
"107",6037207306,"California",NA,2136,888,457,27,302,1,216,245,406,1730,"$27,000 to <$52,000",NA
"108",6037207307,"California",NA,1113,402,325,12,114,0,89,171,204,909,"<$27,000",NA
"109",6037207308,"California",NA,1333,680,205,9,131,0,120,188,292,1041,"$85,000 to <$141,000",NA
"110",6037208301,"California",NA,1353,119,29,123,71,7,830,174,1193,160,"$27,000 to <$52,000",NA
"111",6037208801,"California",NA,2871,490,336,130,680,6,914,315,1426,1445,"$27,000 to <$52,000",NA
"112",6037208802,"California",NA,2485,500,245,99,492,2,841,306,1295,1190,"$27,000 to <$52,000",NA
"113",6037208904,"California",NA,2862,277,120,238,319,0,1594,314,2268,594,"<$27,000",NA
"114",6037209104,"California",NA,1797,261,158,79,142,0,945,212,1328,469,"$27,000 to <$52,000",NA
"115",6037209106,"California",NA,2255,368,249,55,717,1,572,293,929,1326,"$27,000 to <$52,000",NA
"116",6037209402,"California",NA,3087,276,156,239,150,1,1719,546,2594,493,"$27,000 to <$52,000",NA
"117",6037209820,"California",NA,2012,219,90,78,177,2,1128,318,1628,384,"$27,000 to <$52,000",NA
"118",6037211121,"California",NA,2000,394,162,56,632,1,570,185,839,1161,"$52,000 to <$85,000",NA
"119",6037211320,"California",NA,2414,485,150,50,625,3,787,314,1213,1201,"$27,000 to <$52,000",NA
"120",6037211703,"California",NA,3993,557,188,71,1883,1,958,335,1389,2604,"$27,000 to <$52,000",NA
"121",6037211803,"California",NA,3105,335,179,33,2047,0,344,167,547,2558,"$52,000 to <$85,000",NA
"122",6037211804,"California",NA,2741,240,106,44,1644,2,551,154,742,1999,"$27,000 to <$52,000",NA
"123",6037211910,"California",NA,3479,601,276,96,1008,4,1140,354,1672,1807,"$52,000 to <$85,000",NA
"124",6037211921,"California",NA,2026,236,82,28,890,0,593,197,831,1195,"$27,000 to <$52,000",NA
"125",6037211922,"California",NA,2626,406,214,45,894,0,782,285,1134,1492,"$27,000 to <$52,000",NA
"126",6037212203,"California",NA,2780,421,160,53,938,2,915,291,1315,1465,"$27,000 to <$52,000",NA
"127",6037212204,"California",NA,2528,269,157,105,447,8,1245,297,1710,818,"$27,000 to <$52,000",NA
"128",6037212303,"California",NA,2960,558,205,93,769,4,992,339,1448,1512,"$27,000 to <$52,000",NA
"129",6037212304,"California",NA,1437,304,109,57,266,3,525,173,758,679,"$27,000 to <$52,000",NA
"130",6037212410,"California",NA,3021,449,126,55,1314,3,858,216,1180,1841,"$27,000 to <$52,000",NA
"131",6037212501,"California",NA,1673,396,135,63,487,2,424,166,664,1009,"$27,000 to <$52,000",NA
"132",6037212610,"California",NA,3500,553,159,45,1842,6,616,279,945,2555,"$27,000 to <$52,000",NA
"133",6037214503,"California",NA,2837,1347,188,6,925,3,93,275,275,2562,"$52,000 to <$85,000",NA
"134",6037214505,"California",NA,1577,913,128,6,301,1,73,155,170,1407,"$52,000 to <$85,000",NA
"135",6037214904,"California",NA,1569,1182,57,2,155,1,48,124,133,1436,"$52,000 to <$85,000",NA
"136",6037215102,"California",NA,2948,1903,198,11,351,4,160,321,368,2580,"$52,000 to <$85,000",NA
"137",6037218702,"California",NA,1733,223,510,51,83,0,627,239,938,795,"$27,000 to <$52,000",NA
"138",6037221210,"California",NA,2320,330,117,80,266,0,1224,303,1716,604,"$52,000 to <$85,000",NA
"139",6037221500,"California",NA,3067,289,620,53,198,4,1507,396,2013,1054,"$27,000 to <$52,000",NA
"140",6037221601,"California",NA,2583,306,245,100,157,1,1411,363,1957,626,"$27,000 to <$52,000",NA
"141",6037221710,"California",NA,2203,378,143,73,344,0,950,315,1455,748,"$27,000 to <$52,000",NA
"142",6037221900,"California",NA,4643,1636,539,34,1507,12,596,319,1049,3594,"<$27,000",NA
"143",6037226410,"California",NA,2466,238,62,142,29,1,1604,390,2345,121,"$27,000 to <$52,000",NA
"144",6037228420,"California",NA,2127,182,170,84,29,1,1306,355,1897,230,"$27,000 to <$52,000",NA
"145",6037231301,"California",NA,2066,172,408,55,33,0,1004,394,1472,594,"$27,000 to <$52,000",NA
"146",6037231601,"California",NA,1740,140,535,34,35,2,748,246,1065,675,"$52,000 to <$85,000",NA
"147",6037232200,"California",NA,2457,238,691,67,28,0,1125,308,1577,880,"$52,000 to <$85,000",NA
"148",6037232601,"California",NA,1565,119,372,50,7,2,813,202,1138,427,"$27,000 to <$52,000",NA
"149",6037234002,"California",NA,2355,213,929,62,70,0,823,258,1145,1210,"$27,000 to <$52,000",NA
"150",6037234502,"California",NA,2360,176,1191,64,91,0,621,217,881,1479,"$27,000 to <$52,000",NA
